id,text,sarcastic,rephrase,dialect,Texte_traduit
152,لا عاوزين تنجحوهم ولا عاوزين تغششوهم ينتحروا يعني,1,نظام تعليمي ينتج الفشلة والغشاشين,nile,لا أريد أن أنجح ، ولا تريد خداعهم ، فسوف ينتحرون
153,قالوا للحرامي احلف قالهم وحياة قلبي وافراحه,1,ان الحرامي معندوش ذمة وبيكذب,nile,قالوا للهرامي ، أقسم ، قال لهم ، حياة قلبي وبرها
154,متبقاش خنزير و تتنمر علي اي حاجة,1,بيتريق علي اي شخص,nile,خنزير ، وأنت مستمر لأي حاجة
155,انت هتصيع على مين ياض,1,انت بتتذاكى  على اللى أذكى منك,nile,سوف تأخذ على من أنت
156,جا يكحل لها عماها,1,افسد كل شىء,magreb,جا قبلها منها
157,احنا اينعم حالنا زفت ومفيش صحةولا تعليم ولاقضاءولااقتصاد قوي بس ثانكس جود مساحة دولتنا اكبر من مساحة دولة الكويت,1,الكويت احسن من مصر في كل حاجة ولكن مساحتها صغيرة,nile,نحن في حالة حالتنا ، وليس هناك تعليم صحي واقتصاد قوي.
158,الامور منيحة و النفسية اعلى من هيك فش,1,الامور سيئة جدا و مش منيحة,levant,Matiha والأشياء النفسية أعلى من هيك فاش
159,دى فاكره نفسها صوفيا لورين,1,دي وحشة,nile,هذا هو نفس صوفيا لورين
160,عمل زى اللى رقصوا على السلالم لا اللى تحت شافهم ولا اللى فوق سمعهم,1,مقدرش يكمل علشان يحقق حلمه بعد ما تعب فيه,nile,لقد عمل مثل أولئك الذين رقصوا على الدرج ، وليس أولئك الذين تحت شفاءهم ، ولا من هو فوق سمعهم
161,النجار اللى عمل الشبابيك اللى فى الشقه عندك سبعه صنايع والحظ ضايع,1,النجار ماهر فى عمله,nile,النجار الذي قام بالنوافذ في الشقة لديك سبع صناعات ويضيع الحظ
162,عادل امام في حنفي الابهة حاجة رهيبة,1,عادل امام في فيلم حنفى الأبهة كان حلو جدا,nile,عادل الإمام في حنافي الابها ، حاجة رهيبة
163,هذا وش راه يدير ، حاط روحو حمّة,1,ماذا يفعل هذا ؟ يظن نفسه قوي وهو ضعيف,magreb,هذا ما رآه.
164,عيش حياتك واستمتع بيها ساعه الحظ ما تتعوضش,1,الوقت الحلو مش بيتعوض,nile,عش حياتك واستمتع بساعة الحظ ، فلن تعوض
165,انا مش هعمل دايت عشان ده يعتبر رجيم والرجيم اسم من اسماء الشيطان وده كفر نكفر يعني ولا ايه,1,مش قادر أعمل دايت,nile,لن أقوم بحمية لأن هذا نظام غذائي والنظام الغذائي هو أحد أسماء الشيطان ، وهذا هو الكفر ، أعني ، أو ماذا
166,جميل بصراحه عندنا الولد يبقي 25 سنه ويرفع رجليه ع الحوض علشان يتوضي بالعافيه 😂😂😂,1,الشباب هنا فى بلاد العرب مبيعملش رياضة ومعندوش لياقة,nile,جميل ، بصراحة ، يحتفظ الصبي 25 عامًا ورفع قدميه على الحوض للالتزام ببئر 😂😂😂
167,الناس اللي فاكرين نفسهم محور الكون دول طيبين اوي,1,اللي شايفين ان كل حاجة بتدور حواليهم هما بس ساذجين واغبيا,nile,الأشخاص الذين يعتقدون أنفسهم محور الكون بلدان جيدة
168,"يقولون ان الزواج كبرميل العسل اوله عسل و اخره مر , اما ان اعتقد اني بداته من الأسفل ",1,بدأت الزواج بالمشاكل والمر وليس بالحلو والعسل,msa,يقولون إن الزواج يشبه شهر العسل ، والعسل الأخير ، ويتم تمرير النهاية.
169,احنا تفوقنا علي امريكا بالاهتمام باولادنا في الخارج,1,الإهمال الشديد للحقوق المواطنين فى الخارج,nile,لقد تفوقنا على أمريكا من خلال الانتباه إلى أطفالنا في الخارج
170,تبع الكذاب لباب الدار,1,يعني راح نسايرك حتى نفيق بيك,magreb,يتبع الكذاب باب المنزل
171,عليا الطماطم انت صح ياض,1,انت علي الطريق الصح,nile,علياء الطماطم ، أنت على حق
172,يا عم أصاحب مين ده عشري باع ابراهيم,1,مفيش حد بصاحب حد بجد الناس كلها بتخون بعضها,nile,يا عم ، من هذا العشرة ، باع إبراهيم
173,أحنا خرجنا من مرحلة وغي المواطن لمرحلة جدعنة الفيروس,1,الدولة فشلت فى السيطرة على عدم إنتشار الكرونا,nile,خرجنا من المسرح وألغينا المواطن لمرحلة الفيروس
174,ده عاملى فيها ابو العريف,1,ده غبى لكن فاهم نفسه عارف كل حاجه زى ابو المعرفة,nile,هذا علاج
175,بتحذرو بعد ايه مصر كلها عندها دلتا,1,جميع المصريين مصابين بمتحور دلتا,nile,هل تكسب بعد ما لدى كل مصر دلتا
176,يا جمال صوتها دى ام كلثوم زمنها,1,صوتها جميل جدا,nile,يا جمال صوتها ، د. كولثوم ، وقتها
177,روحى الهى وانت جاى يصدمك تورماى,1,ربنا ياخدك,nile,روحي يا إلهي وتأتي لصدمك تورم
178,كان القرد نفع نفسه يسطا,1,انت نفسك مبتعملش بكلامك,nile,كان القرد يستفيد من نفسه
179,الل ياخد المقصد بدون نية الهي تركبه جنية,1,ربنا يأذيك لوظنيت فينا ظن سئ,nile,من يأخذ الوجهة دون نية إلهي هو جنية
180,الحب في القلب زي عضة الكلب,1,لا تحب حتى لاتتالم,nile,الحب في القلب مثل لدغة الكلب
181,الواد دا حكايته على الله,1,شخص بلا اهداف واضحه فى حياته,nile,الوادي هو قصته لله
182,خطوبه يومين علي البحر قليل,1,إستهبال فى الإحتفال بالخطوبة لمدة يومين على البحر,nile,المشاركة لمدة يومين على البحر قليلة
183,انت فاكر نفسك بروس لي,1,انت فاكر نفسك قوي,nile,تعتقد نفسك بروس لي
184,السبوبه خلصت الناس روحت من الساحل وصرفو فلوسهم خلاص .. نرجع بقي ندور ع سبوبه الشتاا عشان ده اكل عيش ياعمنا,1,وزارة الصحة تقلب بيوت الشعب من اجل سبوبة كورونا,nile,اختتمت السببية الناس ، وذهبت من الساحل وأنفقت أموالهم مع الخلاص ..
185,رياض محرز  ينقذ سمكة من الغرق، الله على اخلاقك يا فخر العرب,1,سخرية من رياض محرز و الصاق امور خيالية كانقاذ سمكة من الغرق لحسن اخلاقه,msa,رياد ماهريز ينقذ سمكة من الغرق ، والله على أخلاقك ، يا فخر عربي
186,مستنين شهر أبريل عشان يكذبون فيه على أساس أنهم ملايكه طول السنه,1,هما مش فارق معاهم اى شهر فى السنه بيكذبو على طول,nile,أبريل ، للاستلقاء على ذلك على أساس أنهم ملائكة على مدار العام
187,متلمي نفسك إنتي وبنتك يٱولية,1,احترمي نفسك انتي وبنتك يا حجة,nile,دائمة نفسك أنت وابنتك
188,لا الشعب المصري الصراحة ناقصها بس الايفون iPhone 13 Pro Max,1,الشعب المصري لا يجد ما ياكله ويعلنون عن الأيفون الجديد,nile,لا ، الشعب المصري يعانون من نقص بصراحة ، لكن iPhone 13 Pro Max
189,سنة 2020 فاضلها تنين مجنح وتقفل علي كدة,1,سنة  2020 سنة حصلت فيها كوارث كتيرة,nile,في عام 2020 ، إنه تنين مجنح ، وهو مغلق بالنسبة لي
190,طيب خد عمك حسام البدري فى ايدك و مسمعش صوت حد فيكم,1,افشل مدرب للمنتخب المصري هو حسام البدري,nile,حسنًا ، خذ عمك الحصام البادري بين يديك وسماع صوت شخص ما فيك
191,يبني البلد دي لو فيها خير مكنش ربطو الكبايه ف الكوردير,1,ان لو فيه بركة وخير فالناس مكنوش خافوا عالكوبايةالماية السبيل لوجه الله وربطوها ,nile,البلاد تبني هذا إذا كان هناك جيد ، ولن يكون متصلاً بالمقصورة في كورمير
192,طب مبلاش سيرة قفشه عشان فيه بوابين هنا وبيتخضو,1,قفشة اصبح عقدة الزمالك والزمالكاوية,nile,الطب ، السيرة الذاتية
193,تقريبا العروس مكنتش مصدقه انها ها تتجوز,1,العروسة فرحانة أوى أنها هتتجوز,nile,لم تصدق العروس تقريبًا أنها تتزوج
194,هيموت ويلعب و يكمل ف العزبه خايف اليغمه تروح عليه,1,نفسه يرجع يلعب في الأهلي,nile,يموت ويلعب ويكمل الباطنية
195,غدوة نشاء الله نوض على جيبوتي تاع صباح,1,خسارة منتخب جيبوتي ٨-٠,magreb,أخبار جيدة
196,كل يوم يركب الموصلات العامة وينتقدها مش عاجبك اركب تاكسى او روح شغلك بالطيارة بتاعتكوا,1,يستخدم المواصلات العامة يوميا ودائم الشكوى,nile,كل يوم يركب الموصلات العامة وينتقدهم ، لا ترغب في ركوب سيارة أجرة أو روح عملك مع الطائرة
